ID,TEMPAT LAHIR,TANGGAL LAHIR,AGAMA,TAHUN MASUK,TAHUN LULUS,PRODI,KONSENTRASI,JUMLAH SEMESTER TEMPUTH,JENIS WAKTU KELAS,IPK,JENIS KELAMIN
MHS_1685,DENPASAR,9/6/1992,HINDU,2011,0,SK,Networking & Cyber Security,6,PAGI,2.23,L
MHS_1686,DENPASAR,12/4/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.41,L
MHS_1687,DENPASAR,2/13/1990,HINDU,2011,0,SK,Networking & Cyber Security,1,PAGI,0,L
MHS_1688,DENPASAR,10/18/1993,HINDU,2011,0,SK,Networking & Cyber Security,14,PAGI,2.95,L
MHS_1689,DENPASAR,6/20/1992,HINDU,2011,2015,SK,Robotics & Embedded System,9,PAGI,3.47,L
MHS_1690,BREBES,11/2/1987,ISLAM,2011,0,SK,Networking & Cyber Security,9,PAGI,2.11,L
MHS_1691,SEBUAL,6/2/1993,HINDU,2011,2016,SK,Networking & Cyber Security,10,PAGI,3.1,L
MHS_1692,JAKARTA PUSAT,8/6/1993,ISLAM,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.45,L
MHS_1693,MATARAM,11/4/1993,HINDU,2011,0,SK,Robotics & Embedded System,8,PAGI,3.4,P
MHS_1694,TABANAN,11/9/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.14,L
MHS_1695,KLUNGKUNG,3/2/1994,HINDU,2011,2015,SK,Networking & Cyber Security,8,PAGI,3.28,L
MHS_1696,KLUNGKUNG,5/8/1992,HINDU,2011,0,SK,Networking & Cyber Security,2,PAGI,1.6,L
MHS_1697,POHSANTEN,8/29/1993,HINDU,2011,2015,SK,Robotics & Embedded System,8,PAGI,3.42,L
MHS_1698,DENPASAR,1/22/1993,ISLAM,2011,2018,SK,Networking & Cyber Security,15,PAGI,3.03,P
MHS_1699,BANYUWANGI,8/26/1993,ISLAM,2011,2018,SK,Networking & Cyber Security,15,PAGI,3.09,L
MHS_1700,DENPASAR,4/21/1992,ISLAM,2011,0,SK,Networking & Cyber Security,3,PAGI,0.11,L
MHS_1701,MERAUKE,5/9/1993,KRISTEN,2011,2016,SK,Networking & Cyber Security,10,PAGI,2.94,L
MHS_1702,DENPASAR,6/27/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.38,L
MHS_1703,SEMBUNG,8/6/1989,HINDU,2011,2014,SK,Networking & Cyber Security,6,PAGI,2.98,L
MHS_1704,BULELENG,2/13/1993,HINDU,2011,2016,SK,Networking & Cyber Security,11,PAGI,2.99,L
MHS_1705,TABANAN,2/11/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.42,L
MHS_1706,MOMBOK,7/8/1993,KATOLIK,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.15,P
MHS_1707,TIMOR LESTE,8/22/1992,KATOLIK,2011,2016,SK,Networking & Cyber Security,11,PAGI,2.83,L
MHS_1708,BULELENG,3/20/1993,KATOLIK,2011,2016,SK,Networking & Cyber Security,10,PAGI,2.73,L
MHS_1709,TUWED,7/8/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.09,L
MHS_1710,MERAUKE,11/29/1993,KATOLIK,2011,2016,SK,Networking & Cyber Security,10,PAGI,3.09,P
MHS_1711,PENGLATAN,8/6/1992,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.05,L
MHS_1712,"TIMOR LESTE, BAUCAU",2/11/1988,KATOLIK,2011,0,SK,Networking & Cyber Security,4,PAGI,2.41,L
MHS_1713,DENPASAR,11/13/1993,ISLAM,2011,0,SK,Networking & Cyber Security,1,PAGI,0.17,L
MHS_1714,TABANAN,2/15/1993,HINDU,2011,2017,SK,Networking & Cyber Security,13,PAGI,2.97,L
MHS_1715,DENPASAR,5/11/1993,HINDU,2011,2018,SK,Networking & Cyber Security,13,MALAM,3.34,L
MHS_1716,DENPASAR,6/30/1993,HINDU,2011,0,SK,Networking & Cyber Security,2,PAGI,1.53,L
MHS_1717,DOMPU,12/25/1990,HINDU,2011,2018,SK,Networking & Cyber Security,14,MALAM,3,L
MHS_1718,TABANAN,4/28/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.18,L
MHS_1719,LOMBOK TIMUR,7/9/1992,ISLAM,2011,2016,SK,Networking & Cyber Security,11,PAGI,3.01,L
MHS_1720,MALANG,9/10/1989,ISLAM,2011,0,SK,Networking & Cyber Security,1,PAGI,2.98,L
MHS_1721,DENPASAR,9/26/1993,KRISTEN,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.27,L
MHS_1722,PEJENG KAJA,9/24/1993,HINDU,2011,2017,SK,Robotics & Embedded System,12,PAGI,3.59,L
MHS_1723,JEMBRANA,5/18/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.22,L
MHS_1724,KLUNGKUNG,4/19/1993,HINDU,2011,2016,SK,Networking & Cyber Security,10,PAGI,3.07,L
MHS_1725,BANYUWANGI,1/6/1992,ISLAM,2011,2018,SK,Networking & Cyber Security,14,MALAM,3,L
MHS_1726,DENPASAR,12/18/1992,KRISTEN,2011,0,SK,Networking & Cyber Security,9,PAGI,2.36,L
MHS_1727,AMBON,9/14/1993,KRISTEN,2011,2015,SK,Networking & Cyber Security,8,PAGI,3.27,L
MHS_1728,GIANYAR,8/2/1993,HINDU,2011,0,SK,Networking & Cyber Security,10,MALAM,2.99,L
MHS_1729,BELAH,5/25/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.04,L
MHS_1730,DENPASAR,5/2/1992,HINDU,2011,0,SK,Networking & Cyber Security,3,PAGI,0.12,L
MHS_1731,TABANAN,9/17/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.39,L
MHS_1732,DUSUN SATUNG,4/1/1994,HINDU,2011,2016,SK,Networking & Cyber Security,10,PAGI,3.09,L
MHS_1733,DENPASAR,3/6/1988,HINDU,2011,2015,SK,Networking & Cyber Security,8,PAGI,2.84,P
MHS_1734,TABANAN,4/4/1993,HINDU,2011,0,SK,Networking & Cyber Security,4,PAGI,1.55,L
MHS_1735,SITUBONDO,10/5/1990,ISLAM,2011,0,SK,Networking & Cyber Security,12,PAGI,3.04,L
MHS_1736,SUMBA BARAT,3/3/1994,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.34,L
MHS_1737,DENPASAR,12/31/1990,HINDU,2011,0,SK,Networking & Cyber Security,13,MALAM,0.57,L
MHS_1738,TIMOR LESTE,4/12/1988,KATOLIK,2011,0,SK,Networking & Cyber Security,5,MALAM,2.47,L
MHS_1739,MADIUN,5/25/1981,ISLAM,2011,0,SK,Networking & Cyber Security,7,PAGI,3.32,L
MHS_1740,TOMMO,11/28/1989,HINDU,2011,2013,SK,Networking & Cyber Security,5,PAGI,0,L
MHS_1741,LUMAJANG,7/20/1993,ISLAM,2011,0,SK,Networking & Cyber Security,1,PAGI,0,L
MHS_1742,TABANAN,5/15/1993,ISLAM,2011,2015,SK,Robotics & Embedded System,8,PAGI,3.74,P
MHS_1743,TABANAN,7/29/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.55,L
MHS_1744,DENPASAR,8/1/1993,ISLAM,2011,0,SK,Robotics & Embedded System,4,PAGI,1.78,L
MHS_1745,TABANAN,3/13/1993,HINDU,2011,2018,SK,Networking & Cyber Security,13,PAGI,2.86,L
MHS_1746,SEMARANG,8/7/1993,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.17,L
MHS_1747,PANCASARI,3/3/1994,HINDU,2011,2015,SK,Networking & Cyber Security,9,PAGI,3.24,L
MHS_1748,SIAKIN,4/6/1988,HINDU,2011,0,SK,Robotics & Embedded System,5,PAGI,2.82,L
MHS_1749,DENPASAR,6/11/1993,HINDU,2011,2018,SK,Networking & Cyber Security,13,PAGI,3.15,L
MHS_1750,BULELENG,6/7/1989,HINDU,2011,2014,SK,Networking & Cyber Security,7,PAGI,3.14,P
MHS_1751,GIANYAR,4/4/1992,ISLAM,2011,0,SK,Networking & Cyber Security,9,PAGI,0.96,L
